Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,54.480000,54.680000,53.950001,53.980000,51.971901,20299400
2017-08-01,54.570000,54.790001,53.970001,54.730000,52.694004,18120900
2017-08-02,54.750000,55.450001,54.669998,55.430000,53.367958,14764900
2017-08-03,55.639999,56.119999,55.500000,55.680000,53.608658,13331500
2017-08-04,55.970001,56.049999,55.090000,55.439999,53.377590,9179800
2017-08-07,55.599998,55.930000,55.419998,55.630001,53.560520,7253900
2017-08-08,55.549999,55.580002,54.360001,54.520000,52.728771,11095300
2017-08-09,54.430000,54.430000,53.299999,53.740002,51.974396,16717700
2017-08-10,53.520000,53.750000,52.990002,53.070000,51.326412,13235300
2017-08-11,53.049999,53.400002,53.049999,53.180000,51.432800,9235000
2017-08-14,53.599998,53.599998,53.180000,53.220001,51.471489,7319500
2017-08-15,53.410000,53.419998,52.889999,53.150002,51.403790,6674600
2017-08-16,53.259998,53.919998,53.250000,53.500000,51.742283,7667100
2017-08-17,53.320000,53.779999,52.990002,53.040001,51.297398,7451700
2017-08-18,52.919998,53.090000,52.580002,52.700001,50.968571,10370500
2017-08-21,53.139999,53.520000,52.799999,53.150002,51.403790,12753200
2017-08-22,53.490002,54.740002,53.389999,54.450001,52.661076,14547600
2017-08-23,53.959999,54.099998,53.650002,54.080002,52.303230,11838500
2017-08-24,54.259998,54.450001,53.770000,53.939999,52.167828,8716700
2017-08-25,54.619999,54.689999,54.189999,54.360001,52.574028,8601100
2017-08-28,54.540001,54.580002,54.020000,54.400002,52.612717,6643700
2017-08-29,54.040001,54.290001,54.000000,54.099998,52.322567,6212400
2017-08-30,54.040001,54.619999,54.040001,54.520000,52.728771,5596600
2017-08-31,54.680000,54.990002,54.570000,54.860001,53.057598,8245300
2017-09-01,54.900002,55.160000,54.880001,54.930000,53.125305,7696300
2017-09-05,54.950001,55.200001,54.599998,55.130001,53.318737,9160500
2017-09-06,55.119999,55.279999,54.130001,54.310001,52.525677,11372300
2017-09-07,54.419998,54.680000,53.250000,53.470001,51.713268,13801900
2017-09-08,53.389999,53.779999,53.049999,53.490002,51.732616,11774500
2017-09-11,53.790001,54.130001,53.610001,54.020000,52.245201,9314100
2017-09-12,53.980000,54.049999,53.330002,53.540001,51.780972,10339400
2017-09-13,53.549999,54.720001,53.490002,54.290001,52.506329,12787900
2017-09-14,54.380001,54.709999,54.099998,54.529999,52.738441,8260800
2017-09-15,54.439999,54.790001,54.160000,54.669998,52.873840,10744800
2017-09-18,54.799999,54.970001,54.570000,54.689999,52.893188,6348400
2017-09-19,54.840000,54.880001,54.560001,54.619999,52.825485,5187100
2017-09-20,54.580002,55.180000,54.580002,55.150002,53.338078,7080000
2017-09-21,55.049999,55.169998,54.860001,55.009998,53.202675,7178500
2017-09-22,55.049999,55.200001,54.860001,55.090000,53.280052,6950000
2017-09-25,54.980000,55.220001,54.700001,54.950001,53.144646,10242700
2017-09-26,55.060001,55.220001,54.799999,55.130001,53.318737,8021900
2017-09-27,55.250000,55.599998,54.959999,54.990002,53.183334,8671300
2017-09-28,54.810001,55.080002,54.450001,54.500000,52.709431,7607500
2017-09-29,54.310001,54.470001,53.360001,53.709999,51.945385,11944400
2017-10-02,53.860001,54.040001,53.750000,53.810001,52.042103,5956000
2017-10-03,54.000000,54.340000,53.900002,53.990002,52.216187,6137100
2017-10-04,54.119999,54.200001,53.689999,53.930000,52.158157,5569100
2017-10-05,54.060001,54.970001,53.919998,54.599998,52.806141,7994300
2017-10-06,54.509998,55.450001,54.250000,55.169998,53.357422,10576300
2017-10-09,55.369999,55.490002,54.959999,55.020000,53.212345,5822900
2017-10-10,55.099998,55.849998,55.080002,55.419998,53.599201,6573900
2017-10-11,55.459999,55.799999,55.259998,55.639999,53.811970,8881900
2017-10-12,55.669998,56.270000,55.310001,55.970001,54.131134,7234300
2017-10-13,56.000000,56.430000,55.610001,55.720001,53.889347,6231100
2017-10-16,55.669998,55.799999,54.889999,54.910000,53.105961,7256900
2017-10-17,54.860001,55.230000,54.290001,54.509998,52.719101,11227300
2017-10-18,54.459999,55.430000,54.220001,55.209999,53.396099,8299500
2017-10-19,55.080002,55.540001,54.900002,55.400002,53.579865,5720200
2017-10-20,55.310001,55.400002,54.180000,54.570000,52.777130,11741100
